m2_plane,m2_roi,col,row,z_old,best_z,z_activity,z_parallax,z_source,parallax_rms_px,best_r,n_pass,primary_view,r_v1,r_v2,r_v3,r_v4,plane_z_prior
19,72,125.04517970963953,99.03536071380138,-5.0,-4.0,-10.0,-4.0,parallax,1.5207034986778272,0.674530395310192,4,2,0.5466319269666412,0.6327082096455559,0.674530395310192,0.49308418667145415,-5.0
19,73,115.66653795958084,60.09194319384059,-3.0,-6.0,-2.0,-6.0,parallax,0.9603223526756985,0.761381298049542,4,4,0.5689533106955601,0.652750368736659,0.761381298049542,0.6536334634836211,-5.0
19,75,108.13171368336512,100.50195763477562,-11.0,-4.0,-4.0,-4.0,parallax,1.0,0.6345654095058874,4,2,0.5337171742610021,0.6345654095058874,0.6147598244478537,0.6228294184804033,-5.0
19,76,83.54512423011148,210.0912858393348,3.0,0.0,0.0,0.0,parallax,1.224744871391589,0.736415106731945,4,3,0.7021702965986841,0.5746800334917671,0.736415106731945,0.7144162590761249,-5.0
19,77,124.01910604510745,159.82541732576868,-1.0,-2.0,-4.0,-2.0,parallax,1.0790204874131228,0.696227580389679,4,1,0.646631251219521,0.696227580389679,0.694776048617421,0.6207728942680372,-5.0
19,87,60.69617454016611,90.02678011813641,3.0,0.0,-2.0,0.0,parallax,1.3649933468261335,0.6983845946125904,4,1,0.6283308162521466,0.6675021871662778,0.6983845946125904,0.6742855154711205,-5.0
19,97,125.63924621338536,17.85341209093844,-13.0,0.0,-4.0,0.0,parallax,2.427594327986492,0.6182237158897718,4,2,0.24352104755318485,0.5715137114660639,0.6182237158897718,0.48022865753483074,-5.0
19,115,40.32801095002216,111.59987365359048,1.0,-2.0,0.0,-2.0,parallax,1.1478281643140942,0.91467879423584,4,1,0.8749152163131838,0.91467879423584,0.9116592612676099,0.8898365176760582,-5.0
19,123,20.020387202397043,121.57027793008116,1.0,-2.0,-2.0,-2.0,parallax,0.8660254037844386,0.8270831389729684,4,1,0.667188271864411,0.7961288224625602,0.8270831389729684,0.7856474444925774,-5.0
24,0,38.49340787279345,147.51527074995468,7.0,4.0,2.0,4.0,parallax,1.1579596570991768,0.871770797275984,4,2,0.7648865978660915,0.8491484071943357,0.8311629790060779,0.871770797275984,5.0
24,3,43.32002724293811,193.90009526361445,5.0,-2.0,0.0,-2.0,parallax,1.1010993042531856,0.8557173738322253,4,4,0.814646387763285,0.7640219375731289,0.8474244769266224,0.8557173738322253,5.0
24,4,89.31648716619019,99.28530184918635,3.0,2.0,-4.0,2.0,parallax,1.061023410299127,0.9064773462648723,4,2,0.844620815441338,0.9050775619234365,0.9064773462648723,0.8814939665527526,5.0
24,5,236.295605617815,20.59204598722419,5.0,10.0,2.0,10.0,parallax,1.2660497645456608,0.8941146708802264,4,4,0.8166797531123798,0.7693803029678388,0.8920923600558832,0.8941146708802264,5.0
24,6,13.050898504166248,54.74684603286149,1.0,2.0,2.0,2.0,parallax,0.5,0.7877331759851911,4,3,0.7397885579635696,0.7753955630676654,0.7877331759851911,0.7481865072804318,5.0
24,7,157.38363745591934,38.435613177105,3.0,2.0,2.0,2.0,parallax,1.3228756555322954,0.7868761905202475,4,1,0.5525406356367026,0.7449196251089002,0.7868761905202475,0.7448657513508139,5.0
24,10,174.3522426539133,229.39946294751212,9.0,8.0,6.0,8.0,parallax,1.4374474420538939,0.8234291682649484,4,1,0.7464449221976011,0.8234291682649484,0.765706281210935,0.7721425937810145,5.0
24,11,46.80016771290386,65.33517778158347,-1.0,0.0,-8.0,0.0,parallax,1.2920284767296317,0.8538309077736956,4,1,0.8097232712064804,0.838227632950146,0.8538309077736956,0.8235104277731705,5.0
24,15,114.83643351929668,33.639766517991596,-3.0,2.0,4.0,2.0,parallax,1.3084198026963534,0.8188884084799516,4,4,0.5964149826504163,0.8188884084799516,0.8049045599905934,0.7884739643681961,5.0
24,21,125.05397556494425,160.98930406900163,11.0,8.0,8.0,8.0,parallax,1.224744871391589,0.7905230417500423,4,2,0.7086607994394925,0.7905230417500423,0.7772249654726743,0.6988268087750139,5.0
24,23,33.15962557002614,222.92242777133853,7.0,4.0,4.0,4.0,parallax,1.3228756555322954,0.7641620487735225,4,3,0.7240170134984024,0.6173642738800306,0.7358664570042895,0.7641620487735225,5.0
24,26,208.3522563394062,43.080850236557495,11.0,6.0,4.0,6.0,parallax,1.0396082109950049,0.8303842232084542,4,1,0.760600036193408,0.8303842232084542,0.8239562873458941,0.7490838237658421,5.0
24,31,184.58923648382537,29.090375541535064,3.0,4.0,2.0,4.0,parallax,1.1075666392697718,0.8753594348539759,4,3,0.7803341989923396,0.8238550556637207,0.8753594348539759,0.7938035290998725,5.0
24,39,194.18250863406655,227.34348051890564,13.0,14.0,2.0,14.0,parallax,2.095527287188895,0.715144747952736,4,1,0.666719298105792,0.6728733411583646,0.5883090596545054,0.715144747952736,5.0
24,41,172.05952134186637,49.08351202784384,5.0,0.0,2.0,0.0,parallax,0.9232343668298505,0.6562888790414875,4,1,0.5300385349068942,0.5284011166526559,0.5932794029303732,0.6562888790414875,5.0
24,44,243.8219932737677,157.5127497239233,11.0,12.0,12.0,12.0,parallax,1.3228756555322954,0.8526814269491987,4,2,0.776964382343462,0.8415775390954926,0.8374729843983559,0.8526814269491987,5.0
24,47,21.924431457179647,23.433673204692933,9.0,8.0,2.0,8.0,parallax,1.0965439943410527,0.7403398189276624,4,3,0.44323185342601334,0.7403398189276624,0.577741492269951,0.6712452832893783,5.0
24,49,166.19591964215996,7.017266328580454,9.0,6.0,0.0,6.0,parallax,2.347187444134099,0.814594555140817,4,1,0.570059279949777,0.814594555140817,0.8059484616375436,0.6980193342462007,5.0
