plane_id,new_roi_idx,old_roi_idx,snr,out_dir
24,54,90,1.7147450069214474,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,55,92,3.0036993798241114,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,56,93,1.8489682149874196,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,57,94,1.6446034520190833,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,58,99,1.5270589274435944,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,59,102,1.3935842070221114,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,60,103,4.77791464347244,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,61,111,1.508171447680593,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,62,113,2.2838012491087927,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,63,114,1.3947463685788866,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,64,115,1.3912403259131392,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,65,116,1.3528835212088686,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,66,117,2.3682101297782894,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,67,118,1.383767263481215,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,68,128,1.4336351879417288,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,69,129,1.6354622462935091,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,70,130,3.2360471005624367,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,71,132,1.8738636350964688,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,72,139,1.5905359669726733,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,73,140,1.582278960398672,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,74,141,1.8106800433575552,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,75,142,1.4870739289650083,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,76,147,1.4958415213437932,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,77,152,1.4920969056554654,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,78,153,1.9221239665893162,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,79,155,1.4136006337930997,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,80,157,1.6078721418858557,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,81,160,1.400352180573033,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,82,163,1.563359880427837,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,83,168,1.4374172561494183,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,84,170,1.290038240597406,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,85,171,1.494552924797969,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,86,172,1.4144200961021975,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,87,175,1.377363182917532,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,88,177,1.3520939878164533,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,89,180,1.4164541301245124,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,90,185,2.3654987210436262,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,91,187,2.2171145527672396,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,92,189,1.4006769368319716,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,93,190,2.1971147071355532,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,94,215,2.172005562067096,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,95,227,1.4718953991365984,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,96,232,1.858446417374186,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,97,238,1.3481275158805297,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
24,98,239,1.5839001434398352,F:\SMMAS-Revision\3DLocalizationCA1R1f5\CA1R1f5Output\m2_suite2p_after_dedupe\Plane24\suite2p\plane0
