Time,Data
20231230_175440410,578.41mm;     0.00mm/s;
20231230_175440512,578.41mm;     0.00mm/s;
20231230_175440563,578.41mm;     0.00mm/s;
20231230_175440665,578.41mm;     0.00mm/s;
20231230_175440767,578.41mm;     0.00mm/s;
20231230_175440869,578.41mm;     0.00mm/s;
20231230_175440972,578.41mm;     0.00mm/s;
20231230_175441073,578.41mm;     0.00mm/s;
20231230_175441174,578.41mm;     0.00mm/s;
20231230_175441276,578.41mm;     0.00mm/s;
20231230_175441377,578.41mm;     0.00mm/s;
20231230_175441479,578.41mm;     0.00mm/s;
20231230_175441581,578.41mm;     0.00mm/s;
20231230_175441683,578.41mm;     0.00mm/s;
20231230_175441785,578.41mm;     0.00mm/s;
20231230_175441887,578.41mm;     0.00mm/s;
20231230_175441990,578.41mm;     0.00mm/s;
20231230_175442091,578.41mm;     0.00mm/s;
20231230_175442193,578.41mm;     0.00mm/s;
20231230_175442294,578.41mm;     0.00mm/s;
20231230_175442395,578.41mm;     0.00mm/s;
20231230_175442497,578.41mm;     0.00mm/s;
20231230_175442598,578.41mm;     0.00mm/s;
20231230_175442700,578.41mm;     0.00mm/s;
20231230_175442801,578.41mm;     0.00mm/s;
20231230_175442903,578.41mm;     0.00mm/s;
20231230_175443005,578.41mm;     0.00mm/s;
20231230_175443107,578.41mm;     0.00mm/s;
20231230_175443158,578.41mm;     0.00mm/s;
20231230_175443260,578.41mm;     0.00mm/s;
20231230_175443362,578.41mm;     0.00mm/s;
20231230_175443464,578.41mm;     0.00mm/s;
20231230_175443566,578.41mm;     0.00mm/s;
20231230_175443667,578.41mm;     0.00mm/s;
20231230_175443769,578.41mm;     0.00mm/s;
20231230_175443870,578.41mm;     0.00mm/s;
20231230_175443971,578.41mm;     0.00mm/s;
20231230_175444073,578.41mm;     0.00mm/s;
20231230_175444175,578.41mm;     0.00mm/s;
20231230_175444277,578.41mm;     0.00mm/s;
20231230_175444379,578.41mm;     0.00mm/s;
20231230_175444481,578.41mm;     0.00mm/s;
20231230_175444583,578.41mm;     0.00mm/s;
20231230_175444684,578.41mm;     0.00mm/s;
20231230_175444786,578.41mm;     0.00mm/s;
20231230_175444887,578.41mm;     0.00mm/s;
20231230_175444989,578.41mm;     0.00mm/s;
20231230_175445091,578.41mm;     0.00mm/s;
20231230_175445193,578.41mm;     0.00mm/s;
20231230_175445294,578.41mm;     0.00mm/s;
20231230_175445396,578.41mm;     0.00mm/s;
20231230_175445498,578.41mm;     0.00mm/s;
20231230_175445600,578.41mm;     0.00mm/s;
20231230_175445702,578.41mm;     0.00mm/s;
20231230_175445804,578.41mm;     0.00mm/s;
20231230_175445854,578.41mm;     0.00mm/s;
20231230_175445956,578.41mm;     0.00mm/s;
20231230_175446059,578.41mm;     0.00mm/s;
20231230_175446161,578.41mm;     0.00mm/s;
20231230_175446263,578.41mm;     0.00mm/s;
20231230_175446365,578.41mm;     0.00mm/s;
20231230_175446466,578.41mm;     0.00mm/s;
20231230_175446569,578.41mm;     0.00mm/s;
20231230_175446671,578.41mm;     0.00mm/s;
20231230_175446773,578.41mm;     0.00mm/s;
20231230_175446874,578.41mm;     0.00mm/s;
20231230_175446976,578.41mm;     0.00mm/s;
20231230_175447079,578.41mm;     0.00mm/s;
20231230_175447181,578.41mm;     0.00mm/s;
20231230_175447283,578.41mm;     0.00mm/s;
20231230_175447385,578.41mm;     0.00mm/s;
20231230_175447487,578.41mm;     0.00mm/s;
20231230_175447589,578.41mm;     0.00mm/s;
20231230_175447691,578.41mm;     0.00mm/s;
20231230_175447793,578.41mm;     0.00mm/s;
20231230_175447895,578.41mm;     0.00mm/s;
20231230_175447997,578.41mm;     0.00mm/s;
20231230_175448099,578.41mm;     0.00mm/s;
20231230_175448150,578.41mm;     0.00mm/s;
20231230_175448253,578.41mm;     0.00mm/s;
20231230_175448354,578.41mm;     0.00mm/s;
20231230_175448456,578.41mm;     0.00mm/s;
20231230_175448559,578.41mm;     0.00mm/s;
20231230_175448660,578.41mm;     0.00mm/s;
20231230_175448762,578.41mm;     0.00mm/s;
20231230_175448865,578.41mm;     0.00mm/s;
20231230_175448966,578.41mm;     0.00mm/s;
20231230_175449068,578.41mm;     0.00mm/s;
20231230_175449170,578.41mm;     0.00mm/s;
20231230_175449271,578.41mm;     0.00mm/s;
20231230_175449373,578.41mm;     0.00mm/s;
20231230_175449474,578.41mm;     0.00mm/s;
20231230_175449576,578.41mm;     0.00mm/s;
20231230_175449678,578.41mm;     0.00mm/s;
20231230_175449780,578.41mm;     0.00mm/s;
20231230_175449881,578.41mm;     0.00mm/s;
20231230_175449983,578.41mm;     0.00mm/s;
20231230_175450085,578.41mm;     0.00mm/s;
20231230_175450189,578.41mm;     0.00mm/s;
20231230_175450291,578.41mm;     0.00mm/s;
20231230_175450392,578.41mm;     0.00mm/s;
20231230_175450494,578.41mm;     0.00mm/s;
20231230_175450596,578.41mm;     0.00mm/s;
20231230_175450697,578.41mm;     0.00mm/s;
20231230_175450748,578.41mm;     0.00mm/s;
20231230_175450850,578.41mm;     0.00mm/s;
20231230_175450951,578.41mm;     0.00mm/s;
20231230_175451053,578.41mm;     0.00mm/s;
20231230_175451155,578.41mm;     0.00mm/s;
20231230_175451256,578.41mm;     0.00mm/s;
20231230_175451358,578.41mm;     0.00mm/s;
20231230_175451460,578.41mm;     0.00mm/s;
20231230_175451562,578.41mm;     0.00mm/s;
20231230_175451664,578.41mm;     0.00mm/s;
