m2_plane,m2_roi,source,col,row,z_um,corr_or_best_r,primary_view,m1_idx,d_xy_px,d_z_um,n_pass,accepted,snr
24,10,matched_trusted,173.8549893414018,227.69417459017433,9.5,0.5931359542946603,1,19,0.575773208576617,4.5,,1,2.102099941943364
24,11,recovered_bin_refined,46.80016771290386,65.33517778158347,0.0,0.8538309077736956,1,-1,,5.0,4,1,2.239255976006519
24,15,recovered_bin_refined,114.83643351929668,33.639766517991596,2.0,0.8188884084799516,4,-1,,3.0,4,1,1.6622741186298622
24,16,matched_trusted,65.20708857226059,215.4047663602105,4.0,0.5919831183239277,1,7,3.118990027260654,1.0,,1,2.04838215718718
24,19,matched_trusted,105.51511925385861,196.98662735030422,2.5,0.5600202007005971,1,24,1.3059136599254673,2.5,,1,1.8794917573138166
24,20,matched_trusted,237.906077410237,201.41887125115886,3.3333333333333335,0.4592304369254818,1,29,7.754630050676348,1.6666666666666665,,1,2.5680715095318427
24,21,recovered_bin_refined,125.05397556494425,160.98930406900163,8.0,0.7905230417500423,2,-1,,3.0,4,1,1.3853796149381667
24,23,recovered_bin_refined,33.15962557002614,222.92242777133853,4.0,0.7641620487735225,3,-1,,1.0,4,1,1.5894021097557989
24,25,matched_trusted,35.062654580414176,247.39462260133345,1.5,0.7002072882931983,1,12,1.0978181885879106,3.5,,1,3.0706123719723477
24,26,matched_trusted,208.04895890678964,41.88309340100646,5.5,0.6055045108680689,1,73,0.854316724070205,0.5,,1,1.7826451374519587
24,28,recovered_bin_refined,210.2021412922161,60.98494323941805,8.0,0.6865850907049856,1,-1,,3.0,4,1,1.4379290793752526
24,29,matched_trusted,7.701088230762592,114.9580100761432,6.5,0.7192973609070852,1,26,0.5572427862814073,1.5,,1,3.4611971822773553
24,31,recovered_bin_refined,184.58923648382537,29.090375541535064,4.0,0.8753594348539759,3,-1,,1.0,4,1,2.3228406386490454
24,32,recovered_bin_refined,79.79063553337468,224.35347994163538,8.0,0.8134489356795428,2,-1,,3.0,4,1,1.8055442756206308
24,33,recovered_bin_refined,155.64609476960146,122.79924204397149,8.0,0.8145430975913418,1,-1,,3.0,4,1,1.8660757583049277
24,35,matched_trusted,135.48186807851806,58.20223010268831,0.0,0.5701352614173887,2,115,1.8061773031627302,5.0,,1,1.6331358841121404
24,36,recovered_bin_refined,215.419847550374,112.43123544140991,4.0,0.7410231255109354,1,-1,,1.0,4,1,1.9219591965563259
24,37,matched_trusted,70.14598160797699,206.9775212898124,6.0,0.5568230149411711,3,162,0.7922458591166461,1.0,,1,1.4961827106575387
24,38,matched_trusted,45.264045365445256,174.89870588117589,4.0,0.4562210275793804,3,148,0.4104370692099151,1.0,,1,1.5318062579407785
24,39,recovered_bin_refined,194.18250863406655,227.34348051890564,14.0,0.715144747952736,1,-1,,9.0,4,1,1.683082967950457
24,40,matched_trusted,210.58370968910694,30.330534844494448,2.6666666666666665,0.5023260137671764,1,14,1.1316193777703336,2.3333333333333335,,1,2.3949612793160324
24,41,matched_trusted,170.28654193431478,49.972143114404616,2.0,0.42686865465714025,4,197,1.9754753010640644,3.0,,1,1.2902601278442558
24,44,matched_trusted,244.92992793701345,155.57047057748358,14.0,0.636946605813431,1,25,0.12192194201877621,9.0,,1,2.191527888126768
24,45,recovered_bin_refined,41.48177893785765,112.05925331013174,0.0,0.9113163503078592,2,-1,,5.0,4,1,5.126035107347186
24,47,matched_trusted,23.46088583052577,23.507225415526925,5.0,0.4228925275632964,2,102,1.5322148550856087,0.0,,1,1.4796306794106069
24,49,recovered_bin_refined,166.19591964215996,7.017266328580454,6.0,0.814594555140817,1,-1,,1.0,4,1,1.5299950964827567
24,52,matched_trusted,82.12141116272657,107.06007841949875,-5.0,0.5011257084206691,3,161,1.7775708146175164,10.0,,1,1.7507354901336394
24,54,matched_trusted,27.667261717861997,154.94672160113154,8.0,0.575999595674592,1,48,1.6532625136067884,3.0,,1,1.694724245991157
24,57,recovered_bin_refined,206.21504332011122,151.24100270123247,8.0,0.7675926757151719,1,-1,,3.0,4,1,1.615983499330233
24,58,recovered_bin_refined,9.34877142350494,47.02998422820964,4.0,0.7489017160653179,3,-1,,1.0,4,1,1.5200052512250626
24,59,matched_trusted,144.7423989442609,204.54907172595736,7.5,0.5452473881986752,1,23,0.38407993839686866,2.5,,1,1.9014449521706456
24,60,recovered_bin_refined,104.29169335630198,47.68153320072175,0.0,0.8507492702627357,3,-1,,5.0,4,1,2.2581577121776055
24,61,recovered_bin_refined,53.6436364115131,89.02753525635224,0.0,0.7294032777087447,2,-1,,5.0,4,1,1.6414064623220743
24,62,recovered_bin_refined,58.117340510875295,213.35069021435854,8.0,0.6200503586980942,2,-1,,3.0,4,1,1.501233957619478
24,63,recovered_bin_refined,238.64556771408493,117.81101295050698,14.0,0.7186811768594891,4,-1,,9.0,4,1,1.5604235014912275
24,64,matched_trusted,19.16305594407185,120.7257697667026,0.0,0.5990397651771295,2,119,1.0891866022861556,5.0,,1,1.99874532361179
24,66,recovered_bin_refined,78.89174861606283,29.5133320836217,-2.0,0.7346910109037111,3,-1,,7.0,4,1,1.4780954142051577
24,68,recovered_bin_refined,236.10174920284348,221.52499031938845,6.0,0.8576847905218385,4,-1,,1.0,4,1,2.64979674321289
